titles,location,experience,domaine,contrat,salaire,etude,Unnamed: 0,more_info
Directeur/Directrice,Agadir ,10 ans,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 5,,
Acheteur/Responsable achat/Assistant(e) achat,Casablanca ,1 ans,Autre,CDI,A discuter,Bac plus 5,,
Menuisier,Casablanca ,Pas neccessaire,Urbanisme / Architecture / Aménagement,A discuter,A discuter,Pas important,,
Marketing digital/Web-markteur,Rabat ,Pas neccessaire,Accueil / Secrétariat / Administration,CDD,2 000 - 3 000 DH,Bac plus 4,,
Ingénieur Génie Civil/Technicien génie civile,Casablanca ,Pas neccessaire,Construction / Btp,A discuter,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 2,,
vendeur/vendeuse,Casablanca ,3 ans,Commercial / Vente,CDI,2 000 - 3 000 DH,Bac plus 2,,
secrétaire,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 3,,
secrétaire,Casablanca ,3 ans,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
Responsable production/Assistant(e) Production,Casablanca ,Pas neccessaire,Autre,A discuter,A discuter,Pas important,,
Agent de communication,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,CDI,3 000 - 4 000 DH,Bac plus 3,,
Magasinier,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Autre,A discuter,A discuter,Bac plus 2,,
Réceptionniste,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,4 000 - 6 000 DH,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Rabat ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Bac plus 5,,
chargés de recouvrement,Rabat ,Pas neccessaire,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 4,,
Technicien des Imprimantes,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 2,,
electricien/Chargé en Electricité,Bouskoura ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 2,,
assistant(e)/agent import-export,Meknès ,Pas neccessaire,Agriculture / Environnement / Espaces Verts,CDI,A discuter,Bac plus 3,,
Superviseur,Marrakech ,5 ans,Commerce / Artisanat,CDI,A discuter,Bac plus 2,,
Gestionnaire,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,4 000 - 6 000 DH,Bac plus 3,,
Technicien Réseaux Informatique,Taroudant ,Pas neccessaire,Informatique / Multimédia / Internet,Anapec,2 000 - 3 000 DH,Bac plus 2,,
Professeur,Marrakech ,Pas neccessaire,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 2,,
cuisinier,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Mohammedia ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Bac plus 2,,
Chef de partie,Midelt ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Bac plus 2,,
cuisinier,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,3 000 - 4 000 DH,Niveau Bac,,
